update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
75,0.280354,0.300190,0.996094,0.003177,0.151165,-0.083526,3.966640,4,256,22,0.304828,0,0.179151,0.293316,71,0.080729,"{0: 236, 9: 6, 7: 1, 2: 2, 10: 3, 11: 1, 3: 3, 5: 2, 1: 1, 8: 1}","{'asset_gained': 38.8671875, 'asset_reward': 0.0388671875, 'production_start_reward': 0.03125, 'production_active_reward': 0.0064453125, 'production_cancel_penalty': 0.005218750000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.20983006535947712, 'goal_building_progress': 0.5183006535947711, 'goal_unit_progress': 0.0627450980392157, 'total': 0.2803541666666667, 'seeded_bootstrap': 1.0}"
76,0.106699,0.286256,0.992188,0.006171,0.325586,-0.006080,2.421202,4,256,40,0.345034,0,0.179437,0.293316,71,0.116970,"{1: 6, 0: 220, 8: 6, 3: 2, 6: 7, 5: 6, 2: 2, 7: 6, 17: 1}","{'asset_gained': 36.71875, 'asset_reward': 0.036718749999999994, 'production_start_reward': 0.015625, 'production_active_reward': 0.004062499999999999, 'production_cancel_penalty': 0.00267578125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.10669921874999999, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05338582677165355, 'goal_building_progress': 0.4311023622047244, 'goal_unit_progress': 0.005905511811023622}"
77,0.121987,0.292329,0.992188,0.011756,0.314842,-0.235505,3.719156,4,256,40,0.256516,0,0.179066,0.293316,71,0.113932,"{5: 10, 7: 5, 1: 7, 9: 3, 0: 219, 10: 1, 2: 4, 3: 3, 6: 2, 8: 2}","{'asset_gained': 37.5, 'asset_reward': 0.0375, 'production_start_reward': 0.025390625, 'production_active_reward': 0.004921875000000001, 'production_cancel_penalty': 0.0037617187500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05839238845144359, 'goal_building_progress': 0.4176181102362204, 'goal_unit_progress': 0.012467191601049869, 'total': 0.12198697916666668, 'seeded_bootstrap': 1.0}"
78,0.110514,0.280989,0.992188,0.012830,0.267961,-0.501704,4.560753,4,256,33,0.278386,0,0.178189,0.293316,71,0.105686,"{0: 224, 5: 6, 2: 4, 1: 5, 7: 4, 8: 4, 6: 4, 3: 4, 17: 1}","{'asset_gained': 32.8125, 'asset_reward': 0.032812499999999994, 'production_start_reward': 0.01171875, 'production_active_reward': 0.004277343749999999, 'production_cancel_penalty': 0.0015234375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06372703412073491, 'goal_building_progress': 0.4122047244094488, 'goal_unit_progress': 0.006561679790026246, 'total': 0.11051432291666666, 'seeded_bootstrap': 1.0}"
79,0.177715,0.222329,0.996094,0.017356,0.345144,0.098515,2.337410,4,256,47,0.244430,0,0.178528,0.293316,71,0.116102,"{0: 217, 3: 6, 9: 6, 10: 4, 2: 2, 6: 3, 7: 3, 5: 6, 8: 5, 1: 4}","{'asset_gained': 25.78125, 'asset_reward': 0.02578125, 'production_start_reward': 0.03515625, 'production_active_reward': 0.006132812499999999, 'production_cancel_penalty': 0.0059765625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.11707843137254902, 'goal_building_progress': 0.4936274509803922, 'goal_unit_progress': 0.09176470588235294, 'total': 0.17771484375000002, 'seeded_bootstrap': 1.0}"
80,0.098410,0.249959,0.992188,0.106703,1.060998,-0.338606,3.156789,1,256,132,0.302729,1,0.175734,0.293316,71,0.253255,"{9: 3, 0: 128, 2: 15, 11: 1, 17: 1, 3: 15, 5: 34, 8: 22, 6: 18, 7: 16, 1: 3}","{'asset_gained': 25.5859375, 'asset_reward': 0.0255859375, 'production_start_reward': 0.017578125, 'production_active_reward': 0.00283203125, 'production_cancel_penalty': 0.00260546875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05545275590551183, 'goal_building_progress': 0.32234251968503935, 'goal_unit_progress': 0.024803149606299212, 'total': 0.09841015624999999, 'seeded_bootstrap': 1.0}"
81,0.264592,0.277271,0.992188,0.009606,0.294045,-0.022071,5.973731,4,256,41,0.293634,0,0.177047,0.293316,71,0.106988,"{7: 1, 5: 4, 3: 3, 0: 223, 1: 9, 10: 3, 9: 7, 11: 2, 6: 1, 8: 2, 2: 1}","{'asset_gained': 37.3046875, 'asset_reward': 0.0373046875, 'production_start_reward': 0.046875, 'production_active_reward': 0.0065234375000000015, 'production_cancel_penalty': 0.0071132812500000015, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.18242782152230969, 'goal_building_progress': 0.5250656167979003, 'goal_unit_progress': 0.0005905511811023623, 'total': 0.2645924479166667, 'seeded_bootstrap': 1.0}"
82,0.263078,0.252076,0.996094,0.014602,0.230663,-0.298467,4.375991,4,256,30,0.436706,0,0.183667,0.293316,71,0.097439,"{0: 227, 2: 1, 5: 8, 7: 2, 3: 7, 8: 3, 1: 2, 10: 5, 6: 1}","{'asset_gained': 29.6875, 'asset_reward': 0.0296875, 'production_start_reward': 0.021484375, 'production_active_reward': 0.00578125, 'production_cancel_penalty': 0.00340625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.21035294117647058, 'goal_building_progress': 0.5202614379084968, 'goal_unit_progress': 0.05620915032679738, 'total': 0.26307812500000005, 'seeded_bootstrap': 1.0}"
83,0.128866,0.251743,0.992188,0.071673,0.802834,-0.176215,2.804274,1,256,100,0.158913,1,0.182166,0.293316,71,0.205295,"{0: 158, 6: 13, 7: 15, 5: 31, 2: 7, 3: 19, 1: 2, 9: 1, 10: 3, 8: 7}","{'asset_gained': 27.734375, 'asset_reward': 0.027734375, 'production_start_reward': 0.01953125, 'production_active_reward': 0.0042968749999999995, 'production_cancel_penalty': 0.0026640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.08059711286089238, 'goal_building_progress': 0.38664698162729655, 'goal_unit_progress': 0.03923884514435695, 'total': 0.12886588541666666, 'seeded_bootstrap': 1.0}"
84,0.113680,0.258028,0.992188,0.059172,0.962421,-0.161054,2.929043,1,256,120,0.258070,1,0.174849,0.293316,71,0.237413,"{0: 140, 1: 5, 10: 3, 7: 11, 6: 13, 8: 23, 2: 4, 9: 4, 3: 17, 5: 33, 11: 3}","{'asset_gained': 33.0078125, 'asset_reward': 0.0330078125, 'production_start_reward': 0.03515625, 'production_active_reward': 0.0044921875, 'production_cancel_penalty': 0.00524609375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04663385826771653, 'goal_building_progress': 0.35383858267716534, 'goal_unit_progress': 0.0, 'total': 0.11367968749999999, 'seeded_bootstrap': 1.0}"
