update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
67,0.080648,0.552713,0.976562,0.335952,2.066751,0.205930,2.791103,1,256,255,0.037851,1,0.079580,0.115922,63,0.442925,"{6: 12, 8: 19, 3: 21, 0: 70, 2: 57, 1: 59, 7: 12, 5: 5, 17: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.0609375, 'resource_growth': 7.13671875, 'resource_reward': 0.00713671875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.46862745098039216, 'goal_unit_progress': 0.12254901960784313, 'goal_phase2': 0.6588235294117647, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.0806484375, 'seeded_bootstrap': 1.0}"
68,0.075707,0.354642,0.972656,0.664594,2.362517,0.441771,3.618676,1,256,255,0.244849,1,0.080658,0.115922,63,0.600477,"{3: 8, 1: 61, 0: 84, 8: 11, 2: 48, 10: 9, 7: 10, 9: 5, 11: 9, 6: 8, 5: 3}","{'asset_gained': 23.6328125, 'asset_reward': 0.04726562499999999, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.02395703125, 'production_active_reward': 0.007871093749999999, 'production_cancel_penalty': 0.00455859375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5745098039215686, 'goal_unit_progress': 0.0, 'goal_phase2': 0.9529411764705882, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.07570703125, 'seeded_bootstrap': 1.0}"
69,0.068372,0.342067,0.984375,0.481287,2.305199,0.411713,1.296583,1,256,256,0.149740,1,0.080583,0.115922,63,0.566189,"{2: 54, 0: 83, 1: 56, 5: 10, 6: 10, 8: 3, 7: 11, 3: 16, 9: 8, 10: 3, 11: 2}","{'asset_gained': 19.921875, 'asset_reward': 0.03984375, 'resource_growth': 1.6171875, 'resource_reward': 0.0016171875000000001, 'production_start_reward': 0.025071614583333332, 'production_active_reward': 0.0062109374999999994, 'production_cancel_penalty': 0.00554296875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5601562499999999, 'goal_unit_progress': 0.11249999999999998, 'goal_phase2': 0.734375, 'goal_phase_bonus': 0.001171875, 'total': 0.06837239583333332}"
70,0.109891,0.468752,0.945312,0.238909,2.304744,0.123544,3.627648,1,256,255,0.104838,1,0.081667,0.115922,63,0.568576,"{1: 44, 8: 19, 0: 62, 3: 18, 2: 51, 6: 12, 7: 9, 11: 15, 5: 14, 10: 7, 9: 5}","{'asset_gained': 36.71875, 'asset_reward': 0.07343749999999999, 'resource_growth': 1.609375, 'resource_reward': 0.001609375, 'production_start_reward': 0.03456640625, 'production_active_reward': 0.006484375, 'production_cancel_penalty': 0.007378906250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.4856862745098039, 'goal_unit_progress': 0.056568627450980395, 'goal_phase2': 0.6705882352941176, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.10989062499999999, 'seeded_bootstrap': 1.0}"
71,0.080806,0.458731,0.945312,0.306931,2.279413,0.189279,1.890326,1,256,255,0.054760,1,0.081778,0.115922,63,0.554253,"{1: 48, 2: 58, 0: 70, 3: 12, 8: 10, 10: 7, 9: 2, 11: 9, 6: 9, 5: 13, 7: 17, 17: 1}","{'asset_gained': 29.296875, 'asset_reward': 0.05859375, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.017903645833333336, 'production_active_reward': 0.00693359375, 'production_cancel_penalty': 0.0037968750000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.475686274509804, 'goal_unit_progress': 0.0029411764705882353, 'goal_phase2': 0.6745098039215687, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.08080598958333333, 'seeded_bootstrap': 1.0}"
72,0.068426,0.462216,0.941406,0.283408,2.221676,0.157054,2.966669,1,256,255,0.166690,1,0.081465,0.115922,63,0.523655,"{2: 52, 1: 56, 9: 4, 3: 26, 0: 53, 5: 15, 8: 17, 10: 4, 6: 13, 7: 15, 11: 1}","{'asset_gained': 25.1953125, 'asset_reward': 0.050390624999999994, 'resource_growth': 3.265625, 'resource_reward': 0.0032656250000000003, 'production_start_reward': 0.01105859375, 'production_active_reward': 0.00546875, 'production_cancel_penalty': 0.0029296875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5237254901960784, 'goal_unit_progress': 0.08954248366013073, 'goal_phase2': 0.5294117647058824, 'goal_phase_bonus': 0.001176470588235294, 'total': 0.06842578124999998, 'seeded_bootstrap': 1.0}"
73,0.073867,0.452086,0.949219,0.125296,2.102233,0.145871,1.115257,1,256,255,0.038764,1,0.081505,0.115922,63,0.459852,"{7: 19, 5: 15, 0: 52, 2: 43, 6: 22, 3: 25, 1: 55, 8: 21, 9: 1, 11: 3}","{'asset_gained': 24.4140625, 'asset_reward': 0.048828125, 'resource_growth': 8.83984375, 'resource_reward': 0.00883984375, 'production_start_reward': 0.013671875, 'production_active_reward': 0.0048046875, 'production_cancel_penalty': 0.00227734375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5563725490196079, 'goal_unit_progress': 0.15620915032679739, 'goal_phase2': 0.6588235294117647, 'goal_phase_bonus': 0.0, 'total': 0.0738671875, 'seeded_bootstrap': 1.0}"
74,0.065574,0.339489,0.957031,0.243427,2.332070,0.270702,1.429493,1,256,255,0.051175,1,0.081022,0.115922,63,0.580946,"{10: 9, 2: 52, 0: 63, 1: 41, 11: 13, 3: 21, 5: 9, 9: 7, 7: 10, 6: 18, 8: 13}","{'asset_gained': 19.7265625, 'asset_reward': 0.039453125, 'resource_growth': 0.0, 'resource_reward': 0.0, 'production_start_reward': 0.0216796875, 'production_active_reward': 0.00810546875, 'production_cancel_penalty': 0.0036640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.3607843137254902, 'goal_unit_progress': 0.0, 'goal_phase2': 0.0, 'goal_phase_bonus': 0.0, 'total': 0.06557421875, 'seeded_bootstrap': 1.0}"
75,0.063379,0.450792,0.972656,0.146530,2.077345,0.121378,1.639409,1,256,256,0.036333,1,0.081115,0.115922,63,0.444444,"{8: 23, 0: 68, 1: 58, 7: 13, 2: 52, 3: 16, 6: 12, 5: 14}","{'asset_gained': 23.046875, 'asset_reward': 0.046093749999999996, 'resource_growth': 3.59375, 'resource_reward': 0.00359375, 'production_start_reward': 0.009765625, 'production_active_reward': 0.004667968749999999, 'production_cancel_penalty': 0.0019140625000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.63232421875, 'goal_unit_progress': 0.0, 'goal_phase2': 0.97265625, 'goal_phase_bonus': 0.001171875, 'total': 0.06337890625}"
76,0.083339,0.458915,0.957031,0.234363,2.259360,0.200661,1.197886,1,256,255,0.130737,1,0.080876,0.115922,63,0.543186,"{1: 62, 0: 67, 5: 13, 6: 8, 2: 45, 3: 16, 8: 11, 7: 20, 10: 2, 9: 7, 11: 5}","{'asset_gained': 28.90625, 'asset_reward': 0.0578125, 'resource_growth': 1.6953125, 'resource_reward': 0.0016953125, 'production_start_reward': 0.020936197916666666, 'production_active_reward': 0.005859375, 'production_cancel_penalty': 0.004136718750000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.08333854166666665, 'seeded_bootstrap': 1.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0, 'goal_building_progress': 0.5215686274509805, 'goal_unit_progress': 0.0404901960784314, 'goal_phase2': 0.6078431372549019, 'goal_phase_bonus': 0.001176470588235294}"
