update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
31,0.117301,0.279702,0.996094,0.017478,0.068439,-0.636728,0.923419,4,256,10,0.216697,0,0.114583,0.162408,22,0.070747,"{0: 248, 5: 5, 2: 2, 1: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.03046875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.0047460937499999994, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.07572549019607842, 'goal_building_progress': 0.48431372549019597, 'goal_unit_progress': 0.031372549019607836, 'total': 0.11730078125, 'seeded_bootstrap': 1.0}"
32,0.173117,0.252719,0.992188,0.076954,0.164670,-0.206157,1.751369,1,256,24,0.298274,1,0.117639,0.173117,32,0.088108,"{0: 237, 1: 3, 3: 4, 5: 4, 10: 1, 11: 6, 2: 1}","{'asset_gained': 32.421875, 'asset_reward': 0.032421875, 'production_start_reward': 0.029296875, 'production_active_reward': 0.00578125, 'production_cancel_penalty': 0.0047734375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.11125984251968503, 'goal_building_progress': 0.5544619422572178, 'goal_unit_progress': 0.018372703412073487, 'total': 0.17311718750000005, 'seeded_bootstrap': 1.0}"
33,0.117117,0.329566,0.992188,0.043617,0.124207,0.093201,1.208295,1,256,18,0.361930,1,0.116059,0.173117,32,0.081597,"{0: 242, 3: 3, 10: 2, 1: 4, 2: 2, 5: 3}","{'asset_gained': 44.53125, 'asset_reward': 0.044531249999999994, 'production_start_reward': 0.01953125, 'production_active_reward': 0.0049023437500000005, 'production_cancel_penalty': 0.0023007812500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.050849737532808394, 'goal_building_progress': 0.4325787401574803, 'goal_unit_progress': 0.08333333333333333, 'total': 0.11711653645833332, 'seeded_bootstrap': 1.0}"
34,0.103323,0.326352,0.992188,0.042247,0.115565,0.305805,0.875287,1,256,16,1.429815,1,0.115301,0.173117,32,0.080078,"{0: 243, 3: 4, 10: 2, 1: 3, 5: 1, 2: 3}","{'asset_gained': 43.359375, 'asset_reward': 0.043359375, 'production_start_reward': 0.017578125, 'production_active_reward': 0.0047851562499999995, 'production_cancel_penalty': 0.0019179687500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.03982939632545932, 'goal_building_progress': 0.4271653543307087, 'goal_unit_progress': 0.024934383202099737, 'total': 0.10332291666666665, 'seeded_bootstrap': 1.0}"
35,0.131536,0.250693,0.996094,0.039411,0.117349,-0.107495,0.935879,1,256,17,0.372149,1,0.117598,0.173117,32,0.076823,"{0: 243, 2: 2, 5: 2, 1: 2, 3: 2, 10: 1, 11: 4}","{'asset_gained': 29.1015625, 'asset_reward': 0.0291015625, 'production_start_reward': 0.021484375, 'production_active_reward': 0.0055859375, 'production_cancel_penalty': 0.0037890625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.0794640522875817, 'goal_building_progress': 0.48013071895424836, 'goal_unit_progress': 0.05620915032679738, 'total': 0.13153645833333333, 'seeded_bootstrap': 1.0}"
36,0.103924,0.289137,0.992188,0.093092,0.095022,-0.363381,0.741027,1,256,15,0.767469,1,0.118001,0.173117,32,0.074870,"{5: 3, 2: 2, 0: 241, 11: 4, 1: 5, 3: 1}","{'asset_gained': 36.328125, 'asset_reward': 0.036328124999999996, 'production_start_reward': 0.0234375, 'production_active_reward': 0.0053515625, 'production_cancel_penalty': 0.0032929687500000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04243110236220474, 'goal_building_progress': 0.41299212598425206, 'goal_unit_progress': 0.011318897637795276, 'total': 0.103923828125, 'seeded_bootstrap': 1.0}"
37,0.124438,0.297709,0.992188,0.104204,0.181204,-0.071297,1.045274,1,256,27,0.490104,1,0.118158,0.173117,32,0.092665,"{0: 232, 10: 1, 3: 3, 11: 7, 5: 9, 1: 3, 2: 1}","{'asset_gained': 41.015625, 'asset_reward': 0.041015625, 'production_start_reward': 0.029296875, 'production_active_reward': 0.00580078125, 'production_cancel_penalty': 0.00495703125, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.05370078740157481, 'goal_building_progress': 0.4520341207349081, 'goal_unit_progress': 0.056758530183727035, 'total': 0.12443750000000002, 'seeded_bootstrap': 1.0}"
38,0.169652,0.224970,0.996094,0.092130,0.283170,0.400085,1.677272,1,256,41,3.060140,1,0.122656,0.173117,32,0.104818,"{0: 221, 5: 9, 1: 3, 3: 6, 10: 1, 9: 3, 11: 12, 2: 1}","{'asset_gained': 29.6875, 'asset_reward': 0.0296875, 'production_start_reward': 0.05078125, 'production_active_reward': 0.0068359375, 'production_cancel_penalty': 0.0081640625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.09086601307189542, 'goal_building_progress': 0.5714052287581699, 'goal_unit_progress': 0.01633986928104575, 'total': 0.16965169270833336, 'seeded_bootstrap': 1.0}"
39,0.141105,0.263869,0.992188,0.157526,0.193444,-0.282343,1.233153,1,256,31,0.790920,1,0.124698,0.173117,32,0.095703,"{0: 231, 11: 8, 3: 5, 5: 6, 1: 2, 10: 2, 9: 1, 2: 1}","{'asset_gained': 35.15625, 'asset_reward': 0.03515625, 'production_start_reward': 0.03706380208333333, 'production_active_reward': 0.0064062500000000005, 'production_cancel_penalty': 0.00626171875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.06928149606299212, 'goal_building_progress': 0.45193569553805774, 'goal_unit_progress': 0.005774278215223098, 'total': 0.1411048177083333, 'seeded_bootstrap': 1.0}"
40,0.120077,0.331714,0.992188,0.113966,0.158252,-0.241202,1.289892,1,256,25,0.122141,1,0.124473,0.173117,32,0.088542,"{0: 235, 5: 6, 1: 2, 3: 2, 10: 1, 2: 2, 11: 8}","{'asset_gained': 48.2421875, 'asset_reward': 0.04824218749999999, 'production_start_reward': 0.031121093750000002, 'production_active_reward': 0.0062109374999999994, 'production_cancel_penalty': 0.0048945312500000004, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.039708005249343835, 'goal_building_progress': 0.4020669291338583, 'goal_unit_progress': 0.03116797900262467, 'total': 0.12007747395833335, 'seeded_bootstrap': 1.0}"
41,0.128283,0.224511,0.996094,0.114854,0.264109,-0.014331,1.055814,1,256,38,0.510732,1,0.124501,0.173117,32,0.103733,"{0: 221, 3: 5, 10: 3, 9: 2, 11: 11, 1: 3, 5: 9, 2: 2}","{'asset_gained': 32.2265625, 'asset_reward': 0.0322265625, 'production_start_reward': 0.04876302083333334, 'production_active_reward': 0.0072265624999999995, 'production_cancel_penalty': 0.008722656250000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04898039215686274, 'goal_building_progress': 0.47882352941176476, 'goal_unit_progress': 0.010980392156862742, 'total': 0.12828255208333333, 'seeded_bootstrap': 1.0}"
42,0.082699,0.245548,0.992188,0.090480,0.108334,-0.291468,0.588228,1,256,17,0.160457,1,0.120515,0.173117,32,0.077474,"{0: 241, 11: 3, 1: 5, 5: 1, 3: 1, 2: 3, 10: 2}","{'asset_gained': 29.296875, 'asset_reward': 0.029296875, 'production_start_reward': 0.0234375, 'production_active_reward': 0.005703125, 'production_cancel_penalty': 0.0034140625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.02789370078740158, 'goal_building_progress': 0.3836614173228347, 'goal_unit_progress': 0.00039370078740157485, 'total': 0.08269921875, 'seeded_bootstrap': 1.0}"
43,0.112008,0.327382,0.992188,0.049902,0.139107,0.401836,0.718264,1,256,19,0.111355,1,0.119575,0.173117,32,0.083116,"{0: 242, 3: 3, 5: 4, 10: 1, 1: 2, 2: 2, 9: 2}","{'asset_gained': 44.921875, 'asset_reward': 0.044921875, 'production_start_reward': 0.021484375, 'production_active_reward': 0.00486328125, 'production_cancel_penalty': 0.00265625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'kill_gained': 0.0, 'kill_reward': 0.0, 'goal_aligned': 0.04373687664041995, 'goal_building_progress': 0.4159448818897638, 'goal_unit_progress': 0.021423884514435696, 'total': 0.11200846354166667, 'seeded_bootstrap': 1.0}"
