update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
53,0.047896,0.234479,0.984375,0.007558,0.112161,0.718934,0.484175,4,256,17,0.217904,0,0.051651,0.077758,30,0.073568,"{0: 239, 10: 4, 11: 3, 1: 2, 5: 2, 9: 2, 2: 2, 3: 2}","{'asset_gained': 29.1015625, 'asset_reward': 0.0291015625, 'production_start_reward': 0.015001302083333334, 'production_active_reward': 0.00826171875, 'production_cancel_penalty': 0.0044687500000000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.047895833333333325, 'seeded_bootstrap': 1.0}"
54,0.043238,0.260946,0.992188,0.015863,0.053851,0.961966,0.631514,4,256,7,0.190823,0,0.050846,0.077758,30,0.065538,"{0: 250, 5: 1, 2: 1, 17: 1, 1: 2, 3: 1}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.00611328125, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04323828124999998, 'seeded_bootstrap': 1.0}"
55,0.054866,0.195876,1.000000,0.010180,0.130125,1.031680,0.426597,4,256,23,0.676558,0,0.050939,0.077758,30,0.073785,"{0: 235, 1: 1, 11: 6, 2: 2, 9: 10, 10: 2}","{'asset_gained': 21.09375, 'asset_reward': 0.021093749999999998, 'production_start_reward': 0.03227994791666667, 'production_active_reward': 0.008867187499999998, 'production_cancel_penalty': 0.007375000000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.054865885416666656}"
56,0.047543,0.279532,0.992188,0.018597,0.065656,1.730722,0.374186,4,256,8,0.197000,0,0.049935,0.077758,30,0.068359,"{0: 248, 2: 3, 1: 1, 7: 1, 3: 1, 10: 1, 5: 1}","{'asset_gained': 32.03125, 'asset_reward': 0.03203125, 'production_start_reward': 0.01171875, 'production_active_reward': 0.00533203125, 'production_cancel_penalty': 0.0015390625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04754296874999999, 'seeded_bootstrap': 1.0}"
57,0.080487,0.263156,0.992188,0.015441,0.225591,0.200652,0.441373,4,256,37,0.230502,0,0.051286,0.080487,57,0.089844,"{0: 225, 9: 12, 10: 4, 11: 5, 2: 2, 1: 3, 3: 1, 5: 3, 8: 1}","{'asset_gained': 36.328125, 'asset_reward': 0.036328125, 'production_start_reward': 0.04533072916666667, 'production_active_reward': 0.00810546875, 'production_cancel_penalty': 0.00927734375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.08048697916666667, 'seeded_bootstrap': 1.0}"
58,0.036641,0.229215,0.988281,0.009940,0.066617,0.528377,0.336893,4,256,9,0.035931,0,0.051160,0.080487,57,0.067491,"{0: 247, 9: 1, 10: 1, 2: 4, 5: 1, 1: 2}","{'asset_gained': 23.4375, 'asset_reward': 0.0234375, 'production_start_reward': 0.008203125, 'production_active_reward': 0.006874999999999999, 'production_cancel_penalty': 0.0018750000000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.036640624999999996, 'seeded_bootstrap': 1.0}"
59,0.046535,0.240587,0.988281,0.006636,0.104142,-0.513078,0.731146,4,256,16,0.593760,0,0.051190,0.080487,57,0.073351,"{0: 243, 2: 2, 1: 2, 5: 2, 3: 1, 9: 4, 11: 1, 10: 1}","{'asset_gained': 24.4140625, 'asset_reward': 0.0244140625, 'production_start_reward': 0.01953125, 'production_active_reward': 0.005566406249999999, 'production_cancel_penalty': 0.0029765625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04653515624999999, 'seeded_bootstrap': 1.0}"
60,0.053826,0.258380,0.988281,0.007820,0.121242,-0.248679,0.545812,4,256,19,0.471003,0,0.051783,0.080487,57,0.074002,"{0: 237, 9: 5, 11: 4, 3: 1, 5: 2, 10: 3, 2: 3, 1: 1}","{'asset_gained': 30.078125, 'asset_reward': 0.030078124999999997, 'production_start_reward': 0.020907552083333333, 'production_active_reward': 0.008398437500000001, 'production_cancel_penalty': 0.00555859375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.053825520833333335, 'seeded_bootstrap': 1.0}"
61,0.074234,0.303244,0.996094,0.009060,0.172299,-0.145566,0.561751,4,256,28,0.550317,0,0.052930,0.080487,57,0.081380,"{0: 232, 3: 2, 9: 10, 2: 3, 11: 6, 10: 2, 1: 1}","{'asset_gained': 41.6015625, 'asset_reward': 0.0416015625, 'production_start_reward': 0.03292578125, 'production_active_reward': 0.007460937499999999, 'production_cancel_penalty': 0.007753906250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.07423437499999999, 'seeded_bootstrap': 1.0}"
62,0.030293,0.226689,1.000000,0.003128,0.023365,0.633511,0.220610,4,256,3,0.017579,0,0.052343,0.080487,57,0.060113,"{0: 253, 2: 2, 5: 1}","{'asset_gained': 20.703125, 'asset_reward': 0.020703125, 'production_start_reward': 0.005859375, 'production_active_reward': 0.0048828125, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.030292968749999996}"
