update,mean_reward,std_reward,nz_frac,approx_kl,entropy_mean,policy_loss,value_loss,num_batches,rollout_steps,decision_steps,grad_norm,early_stop,last20_reward,best_reward,best_update,mask_mean,atype_dist,reward_comp
84,0.031637,0.226454,0.984375,0.012882,0.055621,-0.239159,0.404858,4,256,7,0.035774,0,0.051152,0.075177,24,0.066189,"{0: 251, 5: 3, 1: 1, 2: 1}","{'asset_gained': 20.703125, 'asset_reward': 0.020703125, 'production_start_reward': 0.005859375, 'production_active_reward': 0.005839843750000001, 'production_cancel_penalty': 0.000765625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.031636718749999994, 'seeded_bootstrap': 1.0}"
85,0.042656,0.261023,0.992188,0.172937,0.154585,0.673860,0.824024,1,256,37,0.283061,1,0.051286,0.075177,24,0.078559,"{0: 249, 5: 3, 17: 1, 1: 1, 2: 2}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.00552734375, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04265624999999999, 'seeded_bootstrap': 1.0}"
86,0.041973,0.275597,0.996094,0.016687,0.039130,-0.292097,1.066584,4,256,5,0.029335,0,0.050403,0.075177,24,0.063151,"{0: 251, 5: 2, 1: 2, 2: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.03046875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.00484375, 'production_cancel_penalty': 0.0011523437500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04197265624999999, 'seeded_bootstrap': 1.0}"
87,0.057694,0.227428,0.906250,0.235064,0.300635,0.199063,0.225281,1,256,48,0.082613,1,0.050991,0.075177,24,0.112847,"{0: 227, 3: 1, 5: 12, 10: 2, 9: 5, 11: 6, 17: 1, 1: 1, 2: 1}","{'asset_gained': 28.125, 'asset_reward': 0.028125, 'production_start_reward': 0.028467447916666666, 'production_active_reward': 0.0070703125, 'production_cancel_penalty': 0.005968750000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05769401041666666, 'seeded_bootstrap': 1.0}"
88,0.067992,0.288283,0.972656,0.037641,0.158607,0.216622,0.530525,1,256,25,0.132661,1,0.050811,0.075177,24,0.083550,"{0: 236, 3: 2, 10: 5, 2: 2, 9: 3, 11: 3, 5: 4, 1: 1}","{'asset_gained': 41.2109375, 'asset_reward': 0.041210937499999996, 'production_start_reward': 0.02531640625, 'production_active_reward': 0.007031249999999999, 'production_cancel_penalty': 0.005566406250000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.0679921875, 'seeded_bootstrap': 1.0}"
89,0.047090,0.127145,1.000000,0.047913,0.107325,0.008658,0.220332,1,256,18,0.202483,1,0.051049,0.075177,24,0.074653,"{1: 4, 0: 239, 3: 2, 11: 5, 10: 4, 9: 1, 2: 1}","{'asset_gained': 15.234375, 'asset_reward': 0.015234375, 'production_start_reward': 0.02896875, 'production_active_reward': 0.00849609375, 'production_cancel_penalty': 0.005609375000000001, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.047089843750000006}"
90,0.042359,0.261065,0.992188,0.034755,0.061284,-0.233922,0.445974,1,256,10,1.578471,1,0.051063,0.075177,24,0.066840,"{0: 249, 2: 2, 5: 2, 1: 1, 3: 1, 17: 1}","{'asset_gained': 28.515625, 'asset_reward': 0.028515625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.0052343749999999994, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04235937499999999, 'seeded_bootstrap': 1.0}"
91,0.055559,0.245221,0.968750,0.027774,0.151439,-0.265562,0.505890,4,256,23,0.048721,0,0.050310,0.075177,24,0.083116,"{0: 239, 2: 2, 11: 3, 9: 2, 10: 3, 5: 5, 1: 1, 3: 1}","{'asset_gained': 27.5390625, 'asset_reward': 0.0275390625, 'production_start_reward': 0.0244375, 'production_active_reward': 0.00732421875, 'production_cancel_penalty': 0.0037421875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.055558593749999996, 'seeded_bootstrap': 1.0}"
92,0.069585,0.236302,0.980469,0.162891,0.271844,0.939757,0.374838,1,256,54,0.653331,1,0.050661,0.075177,24,0.100694,"{0: 225, 10: 7, 9: 6, 11: 2, 1: 2, 14: 4, 2: 2, 17: 1, 5: 4, 3: 3}","{'asset_gained': 35.9375, 'asset_reward': 0.0359375, 'production_start_reward': 0.032928385416666664, 'production_active_reward': 0.008203124999999999, 'production_cancel_penalty': 0.007484375, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.06958463541666665, 'seeded_bootstrap': 1.0}"
93,0.026452,0.166563,0.988281,0.013300,0.057796,-0.329590,0.099853,4,256,9,0.267040,0,0.050005,0.075177,24,0.065755,"{0: 248, 10: 1, 9: 2, 11: 1, 5: 2, 1: 1, 2: 1}","{'asset_gained': 14.0625, 'asset_reward': 0.014062499999999999, 'production_start_reward': 0.006471354166666667, 'production_active_reward': 0.007617187500000001, 'production_cancel_penalty': 0.0016992187500000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.026451822916666663, 'seeded_bootstrap': 1.0}"
94,0.044480,0.277707,0.957031,0.566859,0.126654,0.495367,0.660898,1,256,16,0.391358,1,0.048892,0.075177,24,0.079861,"{0: 245, 2: 3, 8: 1, 5: 5, 1: 2}","{'asset_gained': 31.640625, 'asset_reward': 0.031640625, 'production_start_reward': 0.009765625, 'production_active_reward': 0.004609375, 'production_cancel_penalty': 0.00153515625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04448046874999999, 'seeded_bootstrap': 1.0}"
95,0.055516,0.241742,0.992188,0.008657,0.106835,0.141406,0.302040,4,256,17,0.095213,0,0.050386,0.075177,24,0.072483,"{0: 240, 3: 2, 10: 5, 11: 3, 5: 2, 9: 2, 2: 1, 1: 1}","{'asset_gained': 30.46875, 'asset_reward': 0.030468749999999996, 'production_start_reward': 0.02230078125, 'production_active_reward': 0.007187499999999999, 'production_cancel_penalty': 0.00444140625, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05551562499999999, 'seeded_bootstrap': 1.0}"
96,0.031070,0.208757,1.000000,0.022787,0.045024,0.405749,0.238909,4,256,8,0.077497,0,0.049136,0.075177,24,0.062717,"{0: 251, 2: 1, 5: 2, 14: 1, 17: 1}","{'asset_gained': 18.75, 'asset_reward': 0.01875, 'production_start_reward': 0.0078125, 'production_active_reward': 0.005664062499999999, 'production_cancel_penalty': 0.0011562500000000002, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.031070312499999996}"
97,0.061767,0.250273,0.957031,0.038485,0.198210,-0.122800,0.651173,1,256,28,0.426007,1,0.049182,0.075177,24,0.091797,"{0: 233, 5: 6, 1: 4, 2: 1, 3: 2, 10: 2, 11: 4, 7: 1, 9: 2, 8: 1}","{'asset_gained': 31.0546875, 'asset_reward': 0.0310546875, 'production_start_reward': 0.029177083333333333, 'production_active_reward': 0.00640625, 'production_cancel_penalty': 0.0048710937499999996, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.061766927083333326, 'seeded_bootstrap': 1.0}"
98,0.043618,0.232313,0.980469,0.023055,0.127820,0.006444,0.280213,4,256,19,1.054877,0,0.048869,0.075177,24,0.077474,"{0: 240, 9: 4, 1: 2, 11: 1, 5: 5, 10: 2, 2: 2}","{'asset_gained': 26.953125, 'asset_reward': 0.026953124999999998, 'production_start_reward': 0.014841145833333333, 'production_active_reward': 0.005859375000000001, 'production_cancel_penalty': 0.0040351562500000005, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.04361848958333333, 'seeded_bootstrap': 1.0}"
99,0.055898,0.229439,0.972656,0.045626,0.162562,-0.211661,0.546244,1,256,23,0.241451,1,0.049055,0.075177,24,0.085503,"{0: 237, 5: 6, 17: 1, 2: 1, 1: 4, 3: 2, 11: 2, 10: 2, 9: 1}","{'asset_gained': 27.34375, 'asset_reward': 0.02734375, 'production_start_reward': 0.025390625, 'production_active_reward': 0.006953124999999999, 'production_cancel_penalty': 0.0037890625000000003, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.055898437499999995, 'seeded_bootstrap': 1.0}"
100,0.052654,0.195383,0.980469,0.048062,0.147841,-0.064848,0.188497,1,256,23,0.334128,1,0.050114,0.075177,24,0.086806,"{0: 234, 11: 6, 3: 4, 10: 2, 5: 5, 1: 1, 9: 2, 8: 1, 2: 1}","{'asset_gained': 22.4609375, 'asset_reward': 0.0224609375, 'production_start_reward': 0.027110677083333333, 'production_active_reward': 0.008261718749999999, 'production_cancel_penalty': 0.0051796875, 'idle_cash_penalty': 0.0, 'power_deficit_penalty': 0.0, 'total': 0.05265364583333333, 'seeded_bootstrap': 1.0}"
